Strike,Implied Volatility,Option Type
685.0,24.533035959601403,Put
690.0,23.788648439049727,Put
695.0,23.00986972630024,Put
700.0,22.32282072722912,Put
701.0,22.137453989386557,Put
702.0,22.024684256911282,Put
703.0,21.881993591189392,Put
704.0,21.71087207853794,Put
705.0,21.571996033787727,Put
706.0,21.451954680085183,Put
707.0,21.315164756178856,Put
708.0,21.17354695260525,Put
709.0,21.005286405682565,Put
710.0,20.85484729111195,Put
711.0,20.742494782805448,Put
712.0,20.603261117339137,Put
713.0,20.458961158394818,Put
714.0,20.30965450942516,Put
715.0,20.155460377335547,Put
716.0,20.05484974920749,Put
717.0,19.89964235842228,Put
718.0,19.776978452801703,Put
719.0,19.62045978605747,Put
720.0,19.476934671998023,Put
721.0,19.336628144383432,Put
722.0,19.21664639413357,Put
723.0,19.07276365935802,Put
724.0,18.956715736985203,Put
725.0,18.78362731039524,Put
726.0,18.670738371014593,Put
727.0,18.518213135600085,Put
728.0,18.39119817793369,Put
729.0,18.280276152491563,Put
730.0,18.123221054673195,Put
731.0,17.974689250588415,Put
732.0,17.856376397013662,Put
733.0,17.737407905459406,Put
734.0,17.61021413743496,Put
735.0,17.48921912848949,Put
736.0,17.33889922082424,Put
737.0,17.194599261879915,Put
738.0,17.05590202748775,Put
739.0,16.915476292967796,Put
740.0,16.826130717396737,Put
741.0,16.674439930319785,Put
742.0,16.565782836079595,Put
743.0,16.408906548619267,Put
744.0,16.312468162178995,Put
745.0,16.168108599781988,Put
746.0,16.044848659634585,Put
747.0,15.911277322173117,Put
748.0,15.791474382281306,Put
749.0,15.66678395926952,Put
750.0,15.548888329863548,Put
751.0,15.443151804804799,Put
752.0,15.28472582757473,Put
753.0,15.17887009561062,Put
754.0,15.083921795487404,Put
755.0,14.947549095749856,Put
756.0,14.833050863146784,Put
757.0,14.717002940773966,Put
758.0,13.53917911231518,Call
759.0,13.422594758868216,Call
760.0,13.29677187025547,Call
761.0,13.195386397242547,Call
762.0,13.083987544178965,Call
763.0,12.967939621806146,Call
764.0,12.841103474497794,Call
765.0,12.76063881337643,Call
766.0,12.622597216963772,Call
767.0,12.524966761469841,Call
768.0,12.427097892165182,Call
769.0,12.3228514534235,Call
770.0,12.22396932542324,Call
771.0,12.142789422869685,Call
772.0,12.036158846020701,Call
773.0,11.973038789629936,Call
774.0,11.87111688554287,Call
775.0,11.79470525920391,Call
776.0,11.718353236317636,Call
777.0,11.621020798087118,Call
778.0,11.573636053204536,Call
779.0,11.506284151673317,Call
780.0,11.424985042214393,Call
781.0,11.360851727128031,Call
782.0,11.316089534163474,Call
783.0,11.250406529307364,Call
784.0,11.188716955780983,Call
785.0,11.160405315756798,Call
786.0,11.102053535580634,Call
787.0,11.082086378931999,Call
788.0,11.042330875992775,Call
789.0,11.014555667042734,Call
790.0,10.965919249653815,Call
791.0,10.931706867814066,Call
792.0,10.928786298632623,Call
793.0,10.921514677405359,Call
794.0,10.895169951319694,Call
795.0,10.847427585721018,Call
796.0,10.842659309506416,Call
797.0,10.890342071652412,Call
798.0,10.888196347355844,Call
799.0,10.8675735527277,Call
800.0,10.868884828686715,Call
805.0,10.970925939679146,Call
810.0,11.153908539414404,Call
815.0,11.384275884032249,Call
820.0,11.72657851278782,Call
825.0,12.216995721459389,Call
830.0,12.6156832164526,Call
